#Position (bp)	Coverage	Std
3119.0	0.160333493666827	0.4804999801042981
9356.0	0.10934744268077601	0.3931430883213149
15593.0	0.2725669392336059	0.6983799021553296
21830.0	0.12025012025012025	0.35363841004637075
28067.0	0.1282667949334616	0.40677286716811073
34304.0	0.08818342151675485	0.34677099107353293
40541.0	0.16835016835016836	0.44299909282999245
46778.0	0.19047619047619047	0.5055408874709565
53015.0	0.22639089305755972	0.5884898863364997
59252.0	0.12730479397146063	0.36959996834975056
65489.0	0.21645021645021645	0.6503535625281757
71726.0	0.2084335417668751	0.5982176509134095
77963.0	0.16835016835016836	0.4700420771302157
84200.0	0.2084335417668751	0.6501069829695386
90437.0	0.24771524771524772	0.6102906731943715
96674.0	0.21741221741221742	0.6054109071716222
102911.0	0.06333172999839666	0.2516579623186929
109148.0	0.07215007215007214	0.33357374687582647
115385.0	0.23617123617123617	0.5630091624292779
121622.0	0.22238255571588905	0.5880810708051619
127859.0	0.20683020683020684	0.6085806194501846
134096.0	0.16017316017316016	0.5176072525740611
140333.0	0.24771524771524772	0.6312121131300199
146570.0	0.16835016835016836	0.5568527424298487
152807.0	0.16835016835016836	0.48216549629447686
159044.0	0.16835016835016836	0.526665875146293
165281.0	0.12025012025012025	0.42752799063942326
171518.0	0.12025012025012025	0.39598757152991154
177755.0	0.10421677088343755	0.34677099107353293
183992.0	0.16835016835016836	0.4655866014368864
190229.0	0.19159852493185828	0.5185356968225706
196466.0	0.13500080166746833	0.4099140170362984
202703.0	0.10437710437710437	0.34677099107353293
208940.0	0.10421677088343755	0.463861561784205
215177.0	0.1996151996151996	0.5337720658164415
221414.0	0.2084335417668751	0.6439118065561577
227651.0	0.1443001443001443	0.43459504776230734
233888.0	0.17380150713484047	0.4952880427693014
240125.0	0.10662177328843996	0.3925308744720863
246362.0	0.11704345037678371	0.44408354755630974
252599.0	0.16225749559082892	0.5007610049663587
258836.0	0.2411415744749078	0.6249579110407281
265073.0	0.1276254609587943	0.4016161035476889
271310.0	0.22286355619688952	0.5446255257363816
277547.0	0.21805355138688473	0.5577158575059924
283784.0	0.21645021645021645	0.5928330440500806
290021.0	0.12025012025012025	0.4320048456072994
296258.0	0.2886002886002886	0.7280539334846904
302495.0	0.1840628507295174	0.5134084763502289
308732.0	0.21645021645021645	0.6003579713496167
314969.0	0.1924001924001924	0.5605833101216812
321206.0	0.1924001924001924	0.4907350685324762
327443.0	0.21645021645021645	0.5758208618164145
333680.0	0.2084335417668751	0.542856298995994
339917.0	0.13628346961680296	0.4012166841514624
346154.0	0.16835016835016836	0.48580953333335214
352391.0	0.16835016835016836	0.4652421051992354
358628.0	0.15231681898348565	0.47344083489515787
364865.0	0.160333493666827	0.48679862740107466
371102.0	0.18438351771685105	0.5472686416830703
377339.0	0.1122334455667789	0.38281172031624094
383576.0	0.1680295013628347	0.5165219583537568
389813.0	0.13628346961680296	0.4245171926807129
396050.0	0.1122334455667789	0.40041665008691507
402287.0	0.1282667949334616	0.4024137529999382
408524.0	0.20041686708353376	0.5713483990575801
414761.0	0.2405002405002405	0.6127813983532047
420998.0	0.21645021645021645	0.6640158940746631
427235.0	0.10421677088343755	0.4138069250703415
433472.0	0.16835016835016836	0.5597246167759463
439709.0	0.1425364758698092	0.42921228340202966
445946.0	0.2084335417668751	0.526665875146293
452183.0	0.18438351771685105	0.5690989871779694
458420.0	0.2000962000962001	0.5628667546459376
464657.0	0.160333493666827	0.51309608905246
470894.0	0.160333493666827	0.45934614145058883
477131.0	0.21645021645021645	0.6234167054614342
483368.0	0.1763668430335097	0.560010994188787
489605.0	0.1763668430335097	0.5217722417360589
495842.0	0.2244668911335578	0.5710677071226548
502079.0	0.16835016835016836	0.5137206736891141
508316.0	0.160333493666827	0.4444444444444444
514553.0	0.13628346961680296	0.4501794486589424
520790.0	0.24851691518358185	0.705915362006309
527027.0	0.13884880551547218	0.4327464853731962
533264.0	0.17380150713484047	0.48811430176640486
539501.0	0.2321628988295655	0.5730296633069372
545738.0	0.2244668911335578	0.5813630575205749
551975.0	0.1840628507295174	0.5582905262390825
558212.0	0.1282667949334616	0.4180472558178578
564449.0	0.23248356581689916	0.5914792330936197
570686.0	0.20041686708353376	0.5297014384697735
576923.0	0.0801667468334135	0.29369953965362783
583160.0	0.1763668430335097	0.5300040385735574
589397.0	0.18438351771685105	0.541377526706604
595634.0	0.0801667468334135	0.31016140346615695
601871.0	0.0641333974667308	0.2532457254658621
608108.0	0.16835016835016836	0.5551224863285953
614345.0	0.18438351771685105	0.48778571586463176
620582.0	0.15231681898348565	0.536618071467614
626819.0	0.1763668430335097	0.5017206245082201
633056.0	0.10421677088343755	0.35136418446315326
639293.0	0.28058361391694725	0.6411669655883282
645530.0	0.1924001924001924	0.542856298995994
651767.0	0.1122334455667789	0.3687313420764084
658004.0	0.1282667949334616	0.4214848882022276
664241.0	0.1924001924001924	0.5278821951846314
670478.0	0.15231681898348565	0.5199252545532581
676715.0	0.09956709956709957	0.34000066019609765
682952.0	0.20506653839987174	0.5940488360065073
689189.0	0.12025012025012025	0.4087389147130889
695426.0	0.15231681898348565	0.48249790963716394
701663.0	0.10421677088343755	0.322826223971098
707900.0	0.1282667949334616	0.3832303226505094
714137.0	0.05611672278338945	0.26860765467512676
720374.0	0.1282667949334616	0.4572470620370812
726611.0	0.11127144460477793	0.39921359283574753
732848.0	0.17732884399551066	0.5390030524257636
739085.0	0.10421677088343755	0.41881361256710453
745322.0	0.160333493666827	0.5333213081857419
751559.0	0.15889049222382556	0.4833279427806414
757796.0	0.22590989257655925	0.5706464103429773
764033.0	0.08818342151675485	0.2969569354582493
770270.0	0.14333814333814335	0.4458851109275409
776507.0	0.14285714285714285	0.4373532416074272
782744.0	0.15231681898348565	0.4978710487755987
788981.0	0.2405002405002405	0.6318468162698925
795218.0	0.160333493666827	0.4717445168834036
801455.0	0.1840628507295174	0.47310205786795145
807692.0	0.13660413660413662	0.5071241700427919
813929.0	0.12025012025012025	0.47882867076185254
820166.0	0.08818342151675485	0.33692152426954486
826403.0	0.1763668430335097	0.48249790963716394
832640.0	0.1282667949334616	0.37986858819879316
838877.0	0.23248356581689916	0.5799824736257149
845114.0	0.08818342151675485	0.34861553063432915
851351.0	0.10421677088343755	0.39477101697586137
857588.0	0.08048741382074716	0.335012605086404
863825.0	0.10421677088343755	0.4040043273936925
870062.0	0.08818342151675485	0.3691659106916604
876299.0	0.18438351771685105	0.5614406901436534
882536.0	0.2084335417668751	0.5118446333132696
888773.0	0.07215007215007214	0.26860765467512676
895010.0	0.12025012025012025	0.39760385405009774
901247.0	0.1763668430335097	0.4844876001800611
907484.0	0.1443001443001443	0.5052236355492373
913721.0	0.0160333493666827	0.12662286273293105
919958.0	0.0641333974667308	0.2532457254658621
926195.0	0.0801667468334135	0.31016140346615695
932432.0	0.16835016835016836	0.4648973536845341
938669.0	0.12698412698412698	0.3988117672756063
944906.0	0.1122334455667789	0.37986858819879316
951143.0	0.1443001443001443	0.3882183458400921
957380.0	0.12842712842712842	0.38281172031624094
963617.0	0.14397947731281063	0.4360682555390346
969854.0	0.13628346961680296	0.4913880762312426
